1.976958082147531326e-01,5.067913943405734535e-05,3.493668243918904848e-01,3.446922985797827299e-01,3.577689037911095937e-01,2.192903650127674686e-01,3.540402476165688261e-01,9.662124629493018535e-01,6.188364082579611569e-01,6.222350232311234519e-01,3.081406785582644914e-01,3.274981902124173283e-01,2.034933800878026833e-01,3.316531929222522601e-01
1.933561505274012382e-01,6.740049388330393576e-03,4.146597433829715129e-01,4.040205992146922997e-01,4.283852376164489772e-01,2.073057450443296368e-01,4.160040162045495205e-01,9.665176990887544006e-01,6.062039121902613736e-01,6.622512265669912024e-01,3.727429986898043168e-01,3.513971143153737930e-01,1.560475067595670506e-01,3.840242185217764836e-01
1.979208879201373450e-01,3.867383001033033747e-03,3.787281472019427553e-01,3.770522009051959778e-01,3.915053921204930121e-01,2.046290344671362338e-01,3.519793573057694580e-01,9.734174573285061527e-01,6.524069675553951786e-01,6.685058745697067817e-01,3.391741257206561388e-01,3.410741296740212869e-01,1.931172747795918132e-01,3.280419298227142400e-01
1.994522706186836192e-01,5.575597074751131128e-04,3.688947735829242736e-01,3.357083438713653889e-01,3.762100598231323256e-01,2.018353456670494983e-01,3.347277218587986214e-01,9.523883606016333436e-01,5.607791014732925738e-01,5.854598326484166115e-01,3.457900794963675306e-01,3.025215264164967666e-01,1.687216950497102963e-01,3.130741563339247691e-01
1.378369631783394889e-01,1.879658204825456055e-03,2.705602799627953026e-01,2.408951636955149744e-01,2.775518853284923426e-01,1.397652908682334993e-01,2.535079902453638012e-01,9.756075233497112364e-01,5.743379097251193333e-01,6.027338594189683985e-01,2.481119706307283179e-01,2.353173406465100537e-01,1.035696813645494291e-01,2.431483139180134478e-01
1.445541907848955920e-01,4.672975192585710727e-04,2.601013327743887382e-01,2.495838758070029195e-01,2.666646003961197775e-01,1.468329911659371489e-01,2.399353520972295484e-01,9.659318569681561994e-01,5.400961562806373406e-01,5.844024559223675030e-01,2.360447926051703060e-01,2.509794440842403884e-01,1.194964200267641941e-01,2.192505628145687557e-01
1.796840089906960036e-01,3.044092080342053735e-03,3.092803169372280170e-01,2.442856234360452627e-01,3.164727170844244264e-01,1.782954694397353990e-01,2.862237686356214894e-01,9.525131129636340566e-01,5.273039124518026366e-01,5.647517948279925371e-01,2.943746618521047020e-01,2.570249015995123010e-01,1.317523222664211402e-01,2.615691083514296023e-01
2.610741991940996320e-01,2.047896007684235284e-02,3.835912290490650634e-01,3.187279870430779205e-01,3.906592024924936957e-01,2.606446401427441328e-01,3.879207211405332201e-01,9.551346593006181385e-01,6.789541413403253900e-01,5.659641888563939904e-01,3.593124947414123027e-01,3.386036050544988241e-01,2.203825574088080497e-01,3.456268885099703092e-01
1.060249293878090387e-01,2.980695579536589077e-03,2.203377244460612838e-01,2.006882025825532656e-01,2.278836283619542491e-01,1.066954407075276501e-01,2.279513455466042060e-01,9.755175632858337220e-01,4.739399186641450323e-01,5.818407698106500270e-01,2.060788925380444281e-01,2.161934186302297001e-01,1.071560774695565765e-01,1.778739783905390059e-01
2.173114225847078418e-01,4.544394640959414228e-03,3.259017125757974753e-01,3.008161949341702779e-01,3.317569304707480571e-01,2.188571781808029970e-01,3.309393734659263342e-01,9.541402715665453504e-01,6.409220405514322039e-01,5.679519390316996041e-01,2.921689250287974882e-01,3.041071069799520799e-01,1.725349808749572778e-01,2.656062319539922445e-01
